objectid,id,cancer,resp,pm25,p_pm25
71844,180973224002,31.2466484577,0.441771384402,9.7970863388,86.3806563898
71845,180973224003,31.2466484577,0.441771384402,9.7970863388,86.3806563898
71846,180973225001,31.3769685345,0.442558626997,9.82072814208,86.7910559096
71847,180973225002,31.3769685345,0.442558626997,9.82072814208,86.7910559096
71848,180973226001,31.372376305,0.447108371071,9.79993579235,86.4201493479
71849,180973226002,31.372376305,0.447108371071,9.79993579235,86.4201493479
71850,180973226003,31.372376305,0.447108371071,9.79993579235,86.4201493479
71851,180973226004,31.372376305,0.447108371071,9.79993579235,86.4201493479
71852,180973227001,31.1662781019,0.440895901786,9.77359371585,85.96495428
71853,180973227002,31.1662781019,0.440895901786,9.77359371585,85.96495428
71854,180973227003,31.1662781019,0.440895901786,9.77359371585,85.96495428
71855,180973301031,30.0253869035,0.434760118699,9.60988005464,83.1042252914
71856,180973301032,30.0253869035,0.434760118699,9.60988005464,83.1042252914
71857,180973301033,30.0253869035,0.434760118699,9.60988005464,83.1042252914
71858,180973301051,29.8750943457,0.422317126996,9.66082103825,84.0396715532
71859,180973301052,29.8750943457,0.422317126996,9.66082103825,84.0396715532
71860,180973301053,29.8750943457,0.422317126996,9.66082103825,84.0396715532
71861,180973301061,29.845139558,0.42884106139,9.64103251366,83.7031946614
71862,180973301062,29.845139558,0.42884106139,9.64103251366,83.7031946614
71863,180973301063,29.845139558,0.42884106139,9.64103251366,83.7031946614
71864,180973301071,28.5464140749,0.387427574355,9.61558333333,83.2483665438
71865,180973301072,28.5464140749,0.387427574355,9.61558333333,83.2483665438
71866,180973301073,28.5464140749,0.387427574355,9.61558333333,83.2483665438
71867,180973301074,28.5464140749,0.387427574355,9.61558333333,83.2483665438
71868,180973301081,28.2250505315,0.382217276425,9.54301530055,81.9278158764
71869,180973301082,28.2250505315,0.382217276425,9.54301530055,81.9278158764
71870,180973301091,28.6566576194,0.387800140614,9.58453032787,82.6392207298
71871,180973301092,28.6566576194,0.387800140614,9.58453032787,82.6392207298
71872,180973301093,28.6566576194,0.387800140614,9.58453032787,82.6392207298
71873,180973302021,28.2450176839,0.385992343994,9.58723469945,82.6989179141
71874,180973302022,28.2450176839,0.385992343994,9.58723469945,82.6989179141
71875,180973302023,28.2450176839,0.385992343994,9.58723469945,82.6989179141
71876,180973302031,27.1001816999,0.363032241012,9.48645464481,80.7528614039
71877,180973302032,27.1001816999,0.363032241012,9.48645464481,80.7528614039
71878,180973302033,27.1001816999,0.363032241012,9.48645464481,80.7528614039
71879,180973302041,28.0410657155,0.378973641085,9.57595218579,82.4802474678
71880,180973302042,28.0410657155,0.378973641085,9.57595218579,82.4802474678
71881,180973302043,28.0410657155,0.378973641085,9.57595218579,82.4802474678
71882,180973302061,26.8557439415,0.359813645306,9.46859344262,80.4053468324
71883,180973302062,26.8557439415,0.359813645306,9.46859344262,80.4053468324
71884,180973302081,27.8130576308,0.372088857637,9.52539480874,81.5499930838
71885,180973302082,27.8130576308,0.372088857637,9.52539480874,81.5499930838
71886,180973302091,27.0252576829,0.361886073695,9.52941284153,81.6383186717
71887,180973302092,27.0252576829,0.361886073695,9.52941284153,81.6383186717
71888,180973302093,27.0252576829,0.361886073695,9.52941284153,81.6383186717
71889,180973302094,27.0252576829,0.361886073695,9.52941284153,81.6383186717
71890,180973304011,29.9589047885,0.422475515545,9.69617103825,84.6484021173
71891,180973304012,29.9589047885,0.422475515545,9.69617103825,84.6484021173
71892,180973304013,29.9589047885,0.422475515545,9.69617103825,84.6484021173
71893,180973305001,30.0894035453,0.42675773299,9.73088661202,85.2544275984
71894,180973305002,30.0894035453,0.42675773299,9.73088661202,85.2544275984
71895,180973305003,30.0894035453,0.42675773299,9.73088661202,85.2544275984
71896,180973305004,30.0894035453,0.42675773299,9.73088661202,85.2544275984
71897,180973306001,29.6444519634,0.418311188186,9.68858387978,84.4903452904
71898,180973306002,29.6444519634,0.418311188186,9.68858387978,84.4903452904
71899,180973306003,29.6444519634,0.418311188186,9.68858387978,84.4903452904
71900,180973306004,29.6444519634,0.418311188186,9.68858387978,84.4903452904
71901,180973307001,29.5850239424,0.415718517769,9.64485054645,83.7608447642
71902,180973307002,29.5850239424,0.415718517769,9.64485054645,83.7608447642
71903,180973307003,29.5850239424,0.415718517769,9.64485054645,83.7608447642
71904,180973308031,29.4186151007,0.411743177833,9.64876256831,83.82924965
71905,180973308032,29.4186151007,0.411743177833,9.64876256831,83.82924965
71906,180973308033,29.4186151007,0.411743177833,9.64876256831,83.82924965
71907,180973308041,29.42296036,0.415208917453,9.64017540984,83.6874703664
71908,180973308042,29.42296036,0.415208917453,9.64017540984,83.6874703664
71909,180973308051,30.5143543765,0.442456070135,9.69470546448,84.6142992528
71910,180973308052,30.5143543765,0.442456070135,9.69470546448,84.6142992528
71911,180973308053,30.5143543765,0.442456070135,9.69470546448,84.6142992528
71912,180973308061,29.6369222066,0.421501680755,9.67408333333,84.2558486185
71913,180973308062,29.6369222066,0.421501680755,9.67408333333,84.2558486185
71914,180973309001,30.1540515018,0.427633407645,9.72653825137,85.1809453109
71915,180973309002,30.1540515018,0.427633407645,9.72653825137,85.1809453109
71916,180973309003,30.1540515018,0.427633407645,9.72653825137,85.1809453109
71917,180973309004,30.1540515018,0.427633407645,9.72653825137,85.1809453109
71918,180973310001,30.5299466995,0.433191830595,9.75199535519,85.6015905876
